date,Open,High,Low,Close,Adj Close,Volume
2023-12-12 09:15:00,47421.69921875,47454.0,47357.0,47374.8515625,47374.8515625,0
2023-12-12 09:30:00,47373.3984375,47400.0,47347.0,47359.55078125,47359.55078125,0
2023-12-12 09:45:00,47359.19921875,47377.3984375,47322.80078125,47328.6015625,47328.6015625,0
2023-12-12 10:00:00,47327.69921875,47353.5,47227.94921875,47243.05078125,47243.05078125,0
2023-12-12 10:15:00,47243.55078125,47247.0,47162.19921875,47244.05078125,47244.05078125,0
2023-12-12 10:30:00,47236.05078125,47285.69921875,47224.6484375,47270.3515625,47270.3515625,0
2023-12-12 10:45:00,47270.6015625,47312.3515625,47254.25,47297.19921875,47297.19921875,0
2023-12-12 11:00:00,47297.94921875,47347.3515625,47291.8515625,47339.1484375,47339.1484375,0
2023-12-12 11:15:00,47340.05078125,47345.30078125,47262.6484375,47277.5,47277.5,0
2023-12-12 11:30:00,47281.1484375,47305.69921875,47256.80078125,47269.5,47269.5,0
2023-12-12 11:45:00,47269.1484375,47292.1484375,47252.1484375,47278.44921875,47278.44921875,0
2023-12-12 12:00:00,47278.05078125,47311.6484375,47276.25,47293.6015625,47293.6015625,0
2023-12-12 12:15:00,47293.8515625,47312.5,47267.8515625,47282.05078125,47282.05078125,0
2023-12-12 12:30:00,47281.6015625,47290.3984375,47237.6015625,47242.8984375,47242.8984375,0
2023-12-12 12:45:00,47242.44921875,47246.8515625,47201.44921875,47212.8515625,47212.8515625,0
2023-12-12 13:00:00,47213.94921875,47227.44921875,47176.8515625,47198.25,47198.25,0
2023-12-12 13:15:00,47202.1484375,47220.69921875,47182.5,47208.69921875,47208.69921875,0
2023-12-12 13:30:00,47215.0,47238.19921875,47198.25,47237.94921875,47237.94921875,0
2023-12-12 13:45:00,47232.0,47243.44921875,47164.05078125,47170.8515625,47170.8515625,0
2023-12-12 14:00:00,47162.05078125,47198.44921875,47118.80078125,47123.5,47123.5,0
2023-12-12 14:15:00,47124.3515625,47167.44921875,47108.0,47139.3515625,47139.3515625,0
2023-12-12 14:30:00,47137.19921875,47190.44921875,47121.25,47130.80078125,47130.80078125,0
2023-12-12 14:45:00,47128.80078125,47143.19921875,47078.55078125,47141.6015625,47141.6015625,0
2023-12-12 15:00:00,47138.69921875,47150.69921875,47087.8515625,47094.8984375,47094.8984375,0
2023-12-12 15:15:00,47094.3515625,47122.44921875,47025.6484375,47063.80078125,47063.80078125,0
2023-12-13 09:15:00,47190.75,47191.69921875,46964.25,47030.1015625,47030.1015625,0
2023-12-13 09:30:00,47033.19921875,47038.8515625,46926.25,46991.75,46991.75,0
2023-12-13 09:45:00,46985.19921875,47024.94921875,46900.80078125,46905.6484375,46905.6484375,0
2023-12-13 10:00:00,46904.44921875,46970.1015625,46888.6015625,46963.80078125,46963.80078125,0
2023-12-13 10:15:00,46964.19921875,46964.19921875,46909.25,46939.94921875,46939.94921875,0
2023-12-13 10:30:00,46941.25,46985.0,46917.44921875,46984.25,46984.25,0
2023-12-13 10:45:00,46977.0,47019.5,46949.1484375,47005.55078125,47005.55078125,0
2023-12-13 11:00:00,47003.80078125,47042.1484375,46988.44921875,47012.0,47012.0,0
2023-12-13 11:15:00,47014.3984375,47018.19921875,46957.1484375,46971.3984375,46971.3984375,0
2023-12-13 11:30:00,46973.0,46983.5,46944.0,46972.75,46972.75,0
2023-12-13 11:45:00,46974.30078125,46991.0,46960.69921875,46969.8515625,46969.8515625,0
2023-12-13 12:00:00,46972.1484375,47000.5,46960.8515625,46973.75,46973.75,0
2023-12-13 12:15:00,46974.5,46981.1015625,46944.44921875,46956.80078125,46956.80078125,0
2023-12-13 12:30:00,46957.69921875,46997.8984375,46934.3984375,46985.3515625,46985.3515625,0
2023-12-13 12:45:00,46986.80078125,47100.1484375,46986.1484375,47097.55078125,47097.55078125,0
2023-12-13 13:00:00,47099.0,47126.1015625,47073.75,47089.6484375,47089.6484375,0
2023-12-13 13:15:00,47091.30078125,47159.55078125,47045.6015625,47059.5,47059.5,0
2023-12-13 13:30:00,47059.80078125,47125.0,47049.8515625,47109.3984375,47109.3984375,0
2023-12-13 13:45:00,47110.44921875,47121.44921875,47066.80078125,47097.8515625,47097.8515625,0
2023-12-13 14:00:00,47097.0,47150.80078125,47076.6484375,47098.1484375,47098.1484375,0
2023-12-13 14:15:00,47098.3515625,47106.8515625,47047.69921875,47079.19921875,47079.19921875,0
2023-12-13 14:30:00,47079.69921875,47094.0,47001.05078125,47005.19921875,47005.19921875,0
2023-12-13 14:45:00,47005.30078125,47080.0,47002.0,47066.55078125,47066.55078125,0
2023-12-13 15:00:00,47065.3515625,47134.6484375,47061.05078125,47080.30078125,47080.30078125,0
2023-12-13 15:15:00,47083.30078125,47145.80078125,47054.80078125,47113.30078125,47113.30078125,0
2023-12-14 09:15:00,47567.6484375,47749.3984375,47524.75,47680.1484375,47680.1484375,0
2023-12-14 09:30:00,47683.94921875,47712.6484375,47624.6484375,47681.8984375,47681.8984375,0
2023-12-14 09:45:00,47680.25,47931.1484375,47667.75,47930.5,47930.5,0
2023-12-14 10:00:00,47931.3984375,47942.3515625,47866.25,47890.19921875,47890.19921875,0
2023-12-14 10:15:00,47890.1015625,47896.5,47774.3515625,47827.25,47827.25,0
